TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
13088,"YouLink HR: Cannot Book Holidays Until Career From Date Set",1,53,58,NA,"CANCELLED","PC5","PBC51","Development","Bug",2,0.88,58,0.88,1.12,1.12
13089,"YouLink HR: Numeric Up / Down Buttons Misbehaving",1,53,58,NA,"FINISHED","PC5","PBC51","Development","Bug",2,6.32,58,6.32,-4.32,-4.32
13090,"Secure FTP Access Setup, Testing & Configuration",1,24,24,NA,"CHRONICLE","PC18","PBC20","Operational","In House Support",7,7,24,7,0,0
13091,"Flex Mobile - Licence",1,13,13,NA,"COMPLETED","PC9","PBC62","Development","Support",0.5,0.5,13,0.5,0,0
13092,"CCC - Exporting Super Search Data Bug",1,13,13,NA,"CHRONICLE","PC7","PBC72","Development","Bug",2,0.5,13,0.5,1.5,1.5
13093,"WebSiteBuilder- Swap DAL",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",35,79.5,53,79.5,-44.5,-44.5
13094,"Synd XXXX SCM Period Close Assistance Client Ticket Number 47106",1,24,24,NA,"CHRONICLE","PC2","PBC72","Operational","Client Support",2.5,2.5,24,2.5,0,0
13095,"Daily Management Tasks - August 2012",1,58,58,NA,"FINISHED","PC18","PBC33","Management","General Documentation",25,21.09,58,21.09,3.91,3.91
13096,"YouLink HR: Add From/To Field Validation To Qualifications",1,53,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",2.5,2.12,58,2.12,0.38,0.38
13097,"CCC -Aged O/S Bespoke Report",1,24,24,NA,"CHRONICLE","PC7","PBC72","Development","Enhancement",35,36.5,24,36.5,-1.5,-1.5
13098,"Meeting with YYY ZZZ",2,25,25,NA,"CHRONICLE","PC5","PBC29","Management","Marketing",3,3,25,3,0,0
13099,"YouLink HR: Document Management - Allow Updating Of Meta Information (incl Security)",1,53,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",7,10.13,58,10.13,-3.13,-3.13
