breed,classification,obey,reps_lower,reps_upper
French Bulldog,Fair Working/Obedience Intelligence,0.3,41,80
Griffon Bruxellois,Fair Working/Obedience Intelligence,0.3,41,80
Maltese,Fair Working/Obedience Intelligence,0.3,41,80
Italian Greyhound,Fair Working/Obedience Intelligence,0.3,41,80
Chinese Crested,Fair Working/Obedience Intelligence,0.3,41,80
Dandie Dinmont Terrier,Fair Working/Obedience Intelligence,0.3,41,80
Petit Basset Griffon Vend̩en,Fair Working/Obedience Intelligence,0.3,41,80
Tibetan Terrier,Fair Working/Obedience Intelligence,0.3,41,80
Japanese Chin,Fair Working/Obedience Intelligence,0.3,41,80
Lakeland Terrier,Fair Working/Obedience Intelligence,0.3,41,80
Old English Sheepdog,Fair Working/Obedience Intelligence,0.3,41,80
Great Pyrenees,Fair Working/Obedience Intelligence,0.3,41,80
Scottish Terrier,Fair Working/Obedience Intelligence,0.3,41,80
Saint Bernard,Fair Working/Obedience Intelligence,0.3,41,80
Bull Terrier,Fair Working/Obedience Intelligence,0.3,41,80
Chihuahua,Fair Working/Obedience Intelligence,0.3,41,80
Lhasa Apso,Fair Working/Obedience Intelligence,0.3,41,80
Bullmastiff,Fair Working/Obedience Intelligence,0.3,41,80
Shih Tzu,Lowest Degree of Working/Obedience Intelligence,,81,100
Basset Hound,Lowest Degree of Working/Obedience Intelligence,,81,100
Mastiff,Lowest Degree of Working/Obedience Intelligence,,81,100
Beagle,Lowest Degree of Working/Obedience Intelligence,,81,100
Pekingese,Lowest Degree of Working/Obedience Intelligence,,81,100
Bloodhound,Lowest Degree of Working/Obedience Intelligence,,81,100
Borzoi,Lowest Degree of Working/Obedience Intelligence,,81,100
Chow Chow,Lowest Degree of Working/Obedience Intelligence,,81,100
Bulldog,Lowest Degree of Working/Obedience Intelligence,,81,100
Basenji,Lowest Degree of Working/Obedience Intelligence,,81,100
Afghan Hound,Lowest Degree of Working/Obedience Intelligence,,81,100
